today,latitude,longitude,ip,type,tpm,tpm_type,informants
7/7/15,2.784926,41.001691,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.837267,40.77312,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.738508,40.795093,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.332412,41.84978,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.145732,45.118879,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.343389,42.30022,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.337138,42.285186,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.307713,41.827808,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.343389,41.84978,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.365343,41.805835,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.337309,42.284414,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.33351,41.915698,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.288503,41.794849,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.335815,42.340292,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.337062,42.285358,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.344487,42.036548,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.727534,40.751148,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,2.37632,41.64104,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.790865,42.567957,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.798717,42.5446,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.788947,42.551477,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.790865,42.584436,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.799292,42.545675,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.799169,42.546272,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.790865,42.589929,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.798888,42.546145,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.782643,42.600916,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.798032,42.546145,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.779903,42.55697,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.798265,42.518518,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.799789,42.543958,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.800944,42.545115,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.788508,42.53703,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.785384,42.562463,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.797751,42.545332,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.76757,42.524011,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.801827,42.567957,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.797837,42.547048,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.799745,42.545802,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.789495,42.617395,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.785384,42.584436,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.80008,42.546362,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.798045,42.544734,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.800663,42.545332,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.78659,42.542523,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.801827,42.584436,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/7/15,3.798042,42.547392,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/8/15,3.780177,42.55697,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/8/15,3.779903,42.55697,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/8/15,3.795339,42.547481,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
