date,longitude,latitude,ip,type,category,tpm_type,informants
7/7/15,40.795093,2.738508,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.84978,2.332412,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,45.118879,2.145732,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.30022,2.343389,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.285186,2.337138,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.827808,2.307713,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.84978,2.343389,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.805835,2.365343,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.284414,2.337309,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.915698,2.33351,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.794849,2.288503,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.340292,2.335815,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.285358,2.337062,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.036548,2.344487,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,40.751148,2.727534,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.64104,2.37632,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.567957,3.790865,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.5446,3.798717,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.551477,3.788947,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.584436,3.790865,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.545675,3.799292,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.546272,3.799169,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.589929,3.790865,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.546145,3.798888,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.600916,3.782643,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.546145,3.798032,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.55697,3.779903,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.518518,3.798265,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.543958,3.799789,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.545115,3.800944,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.53703,3.788508,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.562463,3.785384,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.545332,3.797751,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.524011,3.76757,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.567957,3.801827,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.547048,3.797837,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.545802,3.799745,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.617395,3.789495,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.584436,3.785384,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.546362,3.80008,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.544734,3.798045,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.545332,3.800663,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.542523,3.78659,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.584436,3.801827,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.547392,3.798042,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.55697,3.780177,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.55697,3.779903,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.547481,3.795339,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.548016,3.788234,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.55351,3.792893,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.550049,3.798484,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.545675,3.799412,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.526044,3.788645,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.546317,3.799573,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.534998,3.779903,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.548016,3.794812,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.544302,3.797802,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,40.784107,2.760455,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,40.696216,2.749481,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,42.545459,3.799573,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,45.629077,4.751733,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,45.629077,4.766514,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,45.22544,4.748558,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,45.214948,4.723185,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,45.287073,4.704325,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,45.684009,4.715602,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,45.233569,4.725456,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,45.203859,4.735548,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,45.210169,4.74812,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,45.254114,4.730329,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,45.65105,4.703558,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,45.105798,4.73854,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,45.204975,4.735526,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/9/15,45.210169,4.729234,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/10/15,45.193689,4.74812,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/10/15,45.935266,5.303804,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/10/15,41.014819,2.815322,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/10/15,42.548167,3.798045,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/10/15,42.285713,2.336921,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/10/15,40.795093,2.738507,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/10/15,41.040143,2.788739,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/10/15,42.578943,3.785384,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,41.947266,2.8837,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.203465,4.73566,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.118189,2.146123,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.54705,3.798889,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.5477,3.800076,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.061523,2.842827,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.099953,2.141909,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.543806,3.800903,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,44.925247,2.656086,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.546021,3.798204,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.204472,4.735666,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.208237,4.738064,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.475891,4.212706,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.205399,4.736632,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.888885,5.30318,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,44.31958,1.783434,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.221191,4.719781,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.119843,2.146225,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.543274,3.800757,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.205502,4.735623,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.291962,2.338043,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,44.893839,2.619466,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,41.974731,2.896044,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,44.920784,2.654714,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.547614,3.799908,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,44.214844,1.854901,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.562463,3.789495,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.545929,3.799769,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,46.892578,4.928786,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.544304,3.798912,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.545039,3.799894,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.545125,3.800001,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.084469,2.140942,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.529495,3.794961,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.126709,2.142087,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.544782,3.799958,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.539932,3.796554,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.545288,3.799383,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.207115,4.733576,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,44.368652,1.79382,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.54705,3.797862,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.566894,2.26662,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,44.375244,1.780506,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.204712,4.73073,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.547614,3.800237,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,45.119499,2.146225,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.545425,3.79861,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/13/15,42.543617,3.79829,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.54546,3.799543,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.311279,2.34145,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.545803,3.799886,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,44.893195,2.618991,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.544481,3.800044,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.344238,2.352427,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,45.205416,4.735431,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,44.380005,1.804892,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.54546,3.799201,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.5474,3.799958,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,45.118984,2.146231,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.550232,3.796554,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.545677,3.799917,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.544304,3.79966,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,44.893839,2.61912,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,45.879561,5.308321,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,45.120255,2.146358,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,44.893581,2.61912,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,45.113351,2.142272,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,45.118555,2.146911,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,46.307599,6.241785,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.542587,3.799574,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,46.914551,5.021817,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,45.244629,4.715311,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.544524,3.799894,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,n/a,n/a,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.543743,3.799243,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,44.862762,2.647855,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.547668,3.802846,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,45.114006,2.142194,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.551605,3.799295,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,45.205181,4.735831,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,44.332764,1.75955,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,44.424683,1.747928,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,46.29538,6.23774,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,42.544773,3.799072,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/14/15,44.303101,1.79716,UNICEF,,Cash Transfers,CC,Beneficiary Interview
